"","zip","Case.Type","Case.Number","Status","Source","Incident.Date","Incident.Time","Incident.Location.Type","Incident.Location","Incident.City","Incident.State","Incident.County","Child.ID.1","Child.ID.2","Child.ID.3","Child.ID.4","Child.ID.5","Child.ID.6","Child.Race.1","Child.Race.2","Child.Race.3","Child.Race.4","Child.Race.5","Child.Race.6","Child.Gender.1","Child.Gender.2","Child.Gender.3","Child.Gender.4","Child.Gender.5","Child.Gender.6","Child.Perceived.Age.1","Child.Perceived.Age.2","Child.Perceived.Age.3","Child.Perceived.Age.4","Child.Perceived.Age.5","Child.Perceived.Age.6","Offender.Gender.1","Offender.Gender.2","Offender.Gender.3","Offender.Race.1","Offender.Race.2","Offender.Race.3","Offender.Age.1","Offender.Age.2","Offender.Age.3","Offender.Perceived.Age.1","Offender.Perceived.Age.2","Offender.Perceived.Age.3","Vehicle.Style.1","Vehicle.Style.2","Vehicle.Color.1","Vehicle.Color.2","How.Got.Away","How.Got.Away.Detail","Offender.Method.Animal","Offender.Method.Candy","Offender.Method.Money","Offender.Method.Ride","Offender.Method.Other","Offender.Method.Other.Detail","city","state","latitude","longitude"
"501",22911,"Attempted Abduction",1225620,"Closed","Internet",NA,"8:40 AM","Street","1900 Shadybrook Trail","Charlottesville","VA","Albemarle",499231,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","13","","","","","","Male","","","Unknown","","","",NA,NA,"Unknown","","","","","","","None","",0,0,0,0,1,"None","Charlottesville","VA",38.07735,-78.42042
"502",23005,"Attempted Abduction",1277508,"Closed","Internet",NA,"12:00 AM","School - Bus Stop","Center St Rd","Ashland","VA","Hanover",575484,575485,NA,NA,NA,NA,"Unknown","Unknown","","","","","Female","Female","","","","","Unknown","Unknown","","","","","Male","","","White","","","",NA,NA,"Unknown","","","","","","","Unknown","",0,0,0,0,1,"Conversation","Ashland","VA",37.754254,-77.47465
"503",23005,"Attempted Abduction",1277509,"Closed","Internet",NA,"12:00 AM","Unknown","Center Street Rd","Ashland","VA","Hanover",575489,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","Unknown","","","","","","Male","","","White","","","",NA,NA,"60-69","","","","","Red","","Unknown","",0,0,0,0,1,"Question","Ashland","VA",37.754254,-77.47465
"504",23113,"Attempted Abduction",1276695,"Closed","Internet",2016-12-09,"7:10 PM","Street","3600 Stone Harbor Dr","Midlothian","VA","Chesterfield",574384,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","7","","","","","","Male","","","White","","","",NA,NA,"Unknown","","","Sedan, 4 door","","","","Fought/Broke Free","",0,0,0,0,1,"None","Midlothian","VA",37.51338,-77.64165
"505",23188,"Attempted Abduction",1225779,"Closed","Internet",2013-12-11,"3:15 PM","Street","200 Skimino Rd","Williamsburg","VA","York",499474,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","Unknown","","","","","","Male","","","White","","","",NA,NA,"Unknown","","","Sedan, 2 door","","Silver","","Adult/Child Intervened","",0,0,0,0,1,"Unknown","Williamsburg","VA",37.322936,-76.75793
"506",23188,"Attempted Abduction",1225781,"Closed","Internet",NA,"8:30 AM","School - Bus Stop","100 Indiana Ln","Williamsburg","VA","York",499476,NA,NA,NA,NA,NA,"Unknown","","","","","","Unknown","","","","","","Unknown","","","","","","Male","","","Black","","","",NA,NA,"Unknown","","","Sedan, 4 door","","Gold","","None","",0,0,0,0,1,"None","Williamsburg","VA",37.322936,-76.75793
"507",23219,"Attempted Abduction",1219761,"Closed","Internet",NA,"12:00 AM","Park","5051 Northampton St","Richmond","VA","Richmond",491441,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","10","","","","","","Male","","","Unknown","","","",NA,NA,"50-59","","","Van","","Green","","Ran Away","",0,0,0,0,1,"Conversation","Richmond","VA",37.541046,-77.43536
"508",23220,"Attempted Abduction",1264460,"Closed","Internet",NA,"2:50 PM","Recreational - Other","2500 W Broad St","Richmond","VA","Richmond City",557247,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","9","","","","","","Male","","","Unknown","","","",NA,NA,"20-30","","","","","","","Unknown","",0,0,0,0,1,"None","Richmond","VA",37.549396,-77.45739
"509",23220,"Attempted Abduction",1270940,"Closed","Internet",2016-06-06,"5:00 PM","Street","1900 New York Ave","Richmond","VA","Richmond City",566424,NA,NA,NA,NA,NA,"Unknown","","","","","","Male","","","","","","12","","","","","","Male","","","White","","","",NA,NA,"35","","","Van","","White","","Fought/Broke Free","",0,0,0,0,1,"None","Richmond","VA",37.549396,-77.45739
"510",23223,"Attempted Abduction",1232909,"Closed","Internet",NA,"3:30 PM","Street","2800 Fairfield Ave","Richmond","VA","Richmond City",509990,NA,NA,NA,NA,NA,"Unknown","","","","","","Female","","","","","","Unknown","","","","","","Male","","","Black","","","40",NA,NA,"","","","Sedan, 2 door","","Red","","Fought/Broke Free","Ran away",0,0,0,0,1,"None","Richmond","VA",37.544746,-77.40085
