"case_number","case_type","missing_date","age_missing","gender","race","missing_city","missing_state","missing_zip","vehicle_style","vehicle_color"
1090549,"Lost Injured Missing","03/03/2008",1,"Female","White","Arlington","TX","76011","Sport Utility","Blue, Dark"
1096029,"Lost Injured Missing","05/15/2008",1,"Female","Hispanic","Richmond","CA",NA,"Van","White"
1104424,"Lost Injured Missing","08/31/2008",1,"Male","Biracial","Fort Smith","AR","72901",NA,NA
1123431,"Lost Injured Missing","05/22/2009",1,"Male","Hispanic","Colorado Springs","CO",NA,NA,NA
1123431,"Lost Injured Missing","05/22/2009",1,"Male","Hispanic","Colorado Springs","CO",NA,"Sport Utility","Brown"
1128171,"Lost Injured Missing","07/27/2009",1,"Male","Hispanic","Concord","NC","28025","Sedan, 4 door","Blue, Dark"
1134292,"Lost Injured Missing","10/20/2009",1,"Female","White","Georgetown","CA","95634",NA,"Silver"
1134464,"Lost Injured Missing","10/30/2009",1,"Male","Black","Detroit","MI",NA,"Sedan, 4 door","Blue"
1135447,"Lost Injured Missing","11/13/2009",1,"Male","Black","Oakland","CA","94607",NA,NA
1143869,"Lost Injured Missing","03/21/2010",1,"Male","Black","Norfolk","VA","23510",NA,NA
1143869,"Lost Injured Missing","03/21/2010",1,"Male","Black","Norfolk","VA","23510",NA,NA
1144382,"Lost Injured Missing","03/22/2010",1,"Male","Biracial","University City","MO","63130","Sedan, 4 door","Purple"
1148155,"Lost Injured Missing","05/21/2010",1,"Male","Asian","Palm Bay","FL","32907","Sedan, 4 door","Green"
1158148,"Lost Injured Missing","10/11/2010",1,"Male","Biracial","Union","SC",NA,NA,NA
1165276,"Lost Injured Missing","02/04/2011",1,"Male","Black","New Braunfels","TX","78130",NA,NA
1169137,"Lost Injured Missing","04/01/2011",1,"Male","White","Elgin","SC","29045",NA,NA
1172627,"Lost Injured Missing","05/21/2011",1,"Female","Hispanic","Buda","TX","78610","Truck","White"
1185956,"Lost Injured Missing","12/16/2011",1,"Female","White","Waterville","ME","04901",NA,NA
1186645,"Lost Injured Missing","12/05/2011",1,"Male","Black","Columbia","SC",NA,NA,NA
1192176,"Lost Injured Missing","04/04/2012",1,"Female","Biracial","Fairfield","CA","94533",NA,NA
1194141,"Lost Injured Missing","04/12/2012",1,"Male","White","Orange","CA","92867",NA,NA
1197097,"Lost Injured Missing","06/13/2012",1,"Female","Biracial","Ripley","TN","38063",NA,"Gray"
1214170,"Lost Injured Missing","04/16/2013",1,"Male","Black","Maywood","IL","60153","Sedan, 2 door","Black"
1215503,"Lost Injured Missing","04/28/2013",1,"Female","White","Ottawa","KS","66067","Sedan, 4 door","Black"
1216618,"Lost Injured Missing","05/24/2013",1,"Female","White","Elk River","MN","55330",NA,NA
1217120,"Lost Injured Missing","06/02/2013",1,"Female","White","Toledo","OH",NA,NA,NA
1217120,"Lost Injured Missing","06/02/2013",1,"Female","White","Toledo","OH",NA,NA,NA
1218855,"Lost Injured Missing","07/04/2013",1,"Female","White","Missoula","MT",NA,NA,NA
1218962,"Lost Injured Missing","07/06/2013",1,"Female","Black","Texas City","TX","77591",NA,NA
1219197,"Lost Injured Missing","07/10/2013",1,"Female","Black","Oakland","CA","94605",NA,NA
1219197,"Lost Injured Missing","07/10/2013",1,"Female","Black","Oakland","CA","94605",NA,NA
1219582,"Lost Injured Missing","07/17/2013",1,"Male","Black","Houston","TX","77088",NA,NA
1224222,"Lost Injured Missing","08/17/2013",1,"Male","Biracial","Boston","MA",NA,NA,NA
1225397,"Lost Injured Missing","11/13/2013",1,"Male","White","El Paso","TX","79912","Sedan, 4 door","Blue, Dark"
1240895,"Lost Injured Missing","01/09/2009",1,"Male","White","Palmdale","CA",NA,NA,NA
1249456,"Lost Injured Missing","06/06/2015",1,"Female","Black","Pendleton","SC","29670",NA,NA
1251946,"Lost Injured Missing","07/24/2015",1,"Male","White","Jacksonville","FL","32217","Sedan, 2 door","Orange"
1257200,"Lost Injured Missing","11/01/2015",1,"Male","Asian","Weston","FL",NA,NA,NA
1260372,"Lost Injured Missing","12/30/2015",1,"Male","Hispanic","Glendale","AZ",NA,NA,NA
1264951,"Lost Injured Missing","03/22/2016",1,"Female","White","Spencer","IN","47460",NA,NA
1268834,"Lost Injured Missing","05/22/2016",1,"Female","Black","Antioch","CA","94531","Sedan, 4 door","Silver"
1269745,"Lost Injured Missing","06/05/2016",1,"Male","White","Caseyville","IL","62232",NA,NA
1269745,"Lost Injured Missing","06/05/2016",1,"Male","White","Caseyville","IL","62232",NA,NA
1270141,"Lost Injured Missing","06/10/2016",1,"Male","Black","Pico Rivera","CA","90660",NA,NA
1281757,"Lost Injured Missing","11/12/2016",1,"Female","White","Siloam Springs","AR","72761","Van","White"
1295165,"Lost Injured Missing","04/25/2017",1,"Female","Black","Joliet","IL","60433",NA,NA
1062987,"Non Family Abduction","01/29/2007",1,"Male","Hispanic","Mesa","AZ",NA,"Truck","Blue"
1064768,"Non Family Abduction","02/23/2007",1,"Male","White","Winchester","MA","01890","Sedan, 4 door","Blue, Light"
1072141,"Non Family Abduction","05/30/2007",1,"Male","White","Lexington","TN",NA,"Sedan, 4 door","White"
