Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1264722,Closed,Internet,3/17/2016,12:00 AM,Street,Acacia St,Redford Charter Township,MI,48239,Wayne,557623,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Male,,,White,,,,,,Unknown,,,Van,,White,,Ran Away,Vehicle left the area,0,0,0,0,-1,Impersonation
Attempted Abduction,1235621,Closed,Internet,7/11/2014,12:00 AM,Street,Adams Ave,Saginaw,MI,48602,Saginaw,513912,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Male,Male,,White,White,,,,,Unknown,30-35,,Station Wagon,,Burgundy,,Ran Away,Bike*,0,0,0,0,-1,None
Attempted Abduction,1225796,Closed,Internet,11/20/2013,4:20 PM,Street,Agena St & Southern Cross Rd,Temecula,CA,92592,Riverside,499506,,,,,,Unknown,,,,,,Female,,,,,,15,,,,,,Unknown,Male,,Unknown,Hispanic,,,,,Unknown,20-30,,Van,,White,,Ran Away,,0,0,0,0,-1,Question
Attempted Abduction,1191344,Closed,Internet,3/16/2012,3:48 PM,Unknown,Akers Rd & Berkshire Rd,Bakersfield,CA,93313,Kern,459777,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,40,,,,,,"Sedan, 4 door",,Black,,Fought/Broke Free,,0,0,0,0,-1,Unknown
Attempted Abduction,1270767,Closed,Internet,6/2/2016,12:00 AM,Auto / Vehicle,Alder Cutoff Rd & Alder Mashell Rd E,Eatonville,WA,98328,Pierce,566150,,,,,,Unknown,,,,,,Male,,,,,,9,,,,,,Male,,,White,,,31,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1277284,Closed,Internet,8/16/2016,12:00 AM,Street,Alexandria Ave & Oakwood Ave,Los Angeles,CA,90004,Los Angeles,575170,,,,,,Unknown,,,,,,Female,,,,,,8,,,,,,Female,,,Hispanic,,,50,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1219300,Closed,Internet,7/2/2013,3:20 PM,Street,American Beauty Dr & Autumn Ave,Salt Lake City,UT,84116,Salt Lake City,490910,,,,,,Unknown,,,,,,Female,,,,,,3,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1241488,Closed,Internet,12/8/2014,12:00 AM,Street,Amherst St & East St,Buffalo,NY,14207,Buffalo,522632,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1228306,Closed,Internet,1/26/2014,3:00 PM,Street,Apple Dr & 63rd St,Grove,OK,74344,Delaware,503194,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,Unknown,,,,,,Unknown,,,Van,,White,,Ignored/Refused,,0,-1,0,-1,0,
Attempted Abduction,1208745,Closed,Internet,12/28/2012,12:00 AM,Outdoor - Open Area,Apple Hill Rd & S Rhome Ct,Easley,SC,29642,Pickens,478831,,,,,,Unknown,,,,,,Female,,,,,,4,,,,,,Male,,,White,,,42,,,,,,,,,,Fought/Broke Free,,0,0,0,0,-1,Unknown
